formula,target
AcPtO3,1.204
AuErO3,-4.425
AsDyO3,-5.336
HfBeO3,4.212
CrHoO3,-4.611
PrIrO3,0.203
AuInO3,-4.366
NdSbO3,1.800
EuBeO3,-0.922
BeGeO3,1.025
InPdO3,-1.282
SmSrO3,-2.965
CuPaO3,4.128
BiBeO3,-1.210
HoTeO3,0.712
RuCoO3,-2.148
IrPuO3,-4.973
ZnLiO3,-5.500
YbBeO3,-1.540
ReZnO3,-7.451
ReMoO3,-0.751
AgHfO3,-0.054
NpCoO3,2.922
GaOsO3,3.040
SnZrO3,4.877
BeScO3,-4.176
AcKO3,-2.742
TcZrO3,3.573
TcRuO3,1.727
WErO3,-8.321
InMnO3,-0.201
CrLaO3,-4.876
PdBeO3,-3.744
BHgO3,-7.553
CsIrO3,0.372
GdTiO3,4.865
KCsO3,-1.190
TlMnO3,-0.182
ThCrO3,4.110
TmPbO3,0.490
BiOsO3,1.324
AsYO3,-5.326
SnEuO3,-5.394
VAsO3,0.308
IrVO3,-2.370
LuRhO3,-0.647
ScAsO3,1.189
TbAlO3,6.336
IrYbO3,-12.016
ThAgO3,-0.232
LuSrO3,-5.380
GdAuO3,-0.500
NaPaO3,5.960
HoPtO3,-0.642
MoBaO3,-14.618
TePtO3,-0.244
TlFeO3,-0.727
PaAlO3,5.281
PdWO3,4.195
PmMoO3,2.505
IrBaO3,-15.133
CsAlO3,-2.088
PbCoO3,0.756
FeBeO3,-17.049
SnBiO3,1.066
LiAgO3,-2.619
TeNbO3,2.841
KYbO3,-1.331
RhNdO3,-6.698
SnPtO3,0.447
ScEuO3,-5.376
BaPrO3,0.014
OsNpO3,-4.987
TaLuO3,-7.371
TbTiO3,4.797
AuMoO3,3.766
InYO3,-4.331
CrVO3,1.672
MoThO3,-3.025
EuRhO3,1.403
TaZrO3,0.504
VTbO3,-5.874
AgCeO3,-3.253
IrMgO3,-7.240
NbInO3,-5.317
PrReO3,1.618
SnHfO3,5.278
GeEuO3,-6.036
ScGeO3,2.523
NdHgO3,-0.370
PbErO3,-0.941
TlGaO3,-1.757
BiGeO3,3.272
TcAgO3,-7.876
TlPrO3,-2.864
NaHfO3,0.008
NaAuO3,-2.008
AsRbO3,-14.179
ZnErO3,-3.753
AlTbO3,-6.525
TbCeO3,-2.959
CoCeO3,-5.095
BeHgO3,-8.183
PmSbO3,1.667
SbScO3,0.350
AcHoO3,5.577
InThO3,0.258
PdOsO3,2.777
CaThO3,5.025
TaYbO3,-12.815
PmNbO3,3.772
TcGeO3,2.263
TmInO3,2.513
EuPuO3,3.583
CeInO3,3.530
LiCdO3,-5.406
MgCaO3,-5.014
TeTcO3,1.702
SbAgO3,-0.728
UScO3,4.046
NdPaO3,3.571
VGdO3,-5.305
PbZnO3,-2.368
TbSrO3,-3.530
AsLaO3,-6.720
LiNpO3,1.274
LaVO3,4.609
ErDyO3,0.313
SiZnO3,-6.175
SrPaO3,5.517
PdTmO3,-3.996
TmPaO3,2.359
YTcO3,1.315
HfNaO3,-5.152
CdRbO3,-3.978
NpCrO3,4.866
HgLuO3,-2.614
ReSiO3,3.363
LiScO3,-1.701
PtThO3,-3.568
InCaO3,-5.879
MnAcO3,-3.019
TbMgO3,-1.354
TeCoO3,1.913
BeTmO3,-4.789
GdEuO3,-2.044
ZrCdO3,-5.809
TlVO3,1.822
ErCrO3,4.120
LiIrO3,0.843
NdRuO3,1.544
RhInO3,-5.190
TeCuO3,-1.402
HfCrO3,2.003
OsAsO3,-0.669
NpAlO3,6.440
TeSbO3,-0.481
InTbO3,-4.360
ThMnO3,3.746
ThSiO3,1.378
BaOsO3,3.671
TbZnO3,-0.127
RbTiO3,-0.395
PmThO3,2.636
NaRhO3,0.417
PaTcO3,-0.246
HfNpO3,-0.117
ScRhO3,-0.954
TcRbO3,-18.167
NdTiO3,5.207
SbAlO3,4.409
GaReO3,4.492
FeLiO3,-5.451
FeRhO3,-1.010
ScPtO3,-1.253
TePrO3,-7.146
BAsO3,1.490
MgSmO3,-3.053
MnBaO3,-6.269
TeBiO3,-1.840
SmMoO3,2.336
CsTmO3,-0.703
HfKO3,-15.905
LaDyO3,4.719
TiZrO3,0.297
PaMgO3,3.097
HfNbO3,0.433
GeYbO3,-5.676
TeCaO3,-8.469
CoGeO3,1.515
TeFeO3,-0.992
TlPtO3,-0.184
TmTaO3,2.754
SbSiO3,2.830
NaOsO3,3.014
YbLiO3,-1.844
MnNdO3,-3.216
MnSnO3,2.711
RuScO3,-3.854
SbVO3,3.131
SmYO3,2.084
MnLiO3,-4.252
BeMnO3,-1.718
NaFeO3,-0.436
PmTcO3,1.999
RhGdO3,-6.120
ScNaO3,-4.175
SbNaO3,-9.071
TmAgO3,-0.825
AgDyO3,-3.359
SiBaO3,-7.572
TiEuO3,-10.005
YbIrO3,0.609
TaPdO3,-5.715
BeBO3,-3.292
NiTaO3,2.050
OsAuO3,-9.276
PdAsO3,0.356
RbWO3,5.767
SmHoO3,4.384
AlReO3,3.045
RbHfO3,0.350
GdAcO3,1.081
PdLuO3,-3.880
WBiO3,-0.405
AlScO3,-4.725
PbCeO3,-1.369
PmBeO3,-0.532
ZnSmO3,-4.454
ReTbO3,-8.784
BaBeO3,-1.532
AsHfO3,0.248
DyCrO3,4.239
ZrPrO3,-8.028
GeBO3,-0.659
TcBaO3,-12.144
AsGaO3,-0.391
ZrYO3,-4.920
MnSrO3,-5.900
TmOsO3,-0.346
ZrOsO3,-1.742
OsHfO3,-2.052
SbNpO3,-0.044
RbYO3,-0.788
SbTbO3,-3.307
AcZnO3,0.739
CrEuO3,-7.628
ErSnO3,2.190
HgBeO3,-2.742
MgFeO3,0.070
AgGaO3,-2.518
AcPuO3,3.324
Pr2O3,2.960
GaCdO3,-6.244
CdAuO3,-1.049
CrSmO3,-5.258
NbIrO3,-3.832
ScCuO3,-0.392
RhMnO3,-1.999
CeHgO3,-0.095
ScCoO3,1.089
MoIrO3,-2.497
NbPbO3,-9.306
SbDyO3,-2.994
CaCsO3,-1.536
EuPtO3,0.039
BMgO3,-8.300
YPaO3,3.010
CeCdO3,-0.129
ErPmO3,-1.673
NdAsO3,2.687
PtHgO3,-8.920
PaTlO3,-0.857
ReSrO3,-16.040
MnKO3,-5.171
TmSrO3,-4.547
YCdO3,-1.002
NaPdO3,-1.498
SmSbO3,1.586
RuPuO3,-2.482
LiGdO3,-2.036
LaSbO3,2.310
SmPuO3,2.548
SiTmO3,-5.220
YbPbO3,1.197
PbIrO3,1.939
BSbO3,2.348
CuCeO3,-4.235
FeNiO3,-2.889
BNiO3,-5.604
AsPtO3,-0.430
KCeO3,-0.902
MnNbO3,4.424
CuReO3,3.638
TiFeO3,-0.463
HgRuO3,1.303
TcMoO3,3.431
TeErO3,-4.578
CaAlO3,0.239
SiNdO3,-6.481
NiRhO3,-0.282
ZnWO3,4.632
PtPuO3,-2.125
ReCaO3,-13.338
GdMoO3,1.977
TiPaO3,3.847
EuTeO3,2.866
InRhO3,-0.092
GdCuO3,0.875
ErTlO3,0.415
KAlO3,-1.447
CrPtO3,-1.005
SiPrO3,-6.586
GaErO3,-4.653
VSiO3,4.538
TiNiO3,-1.581
IrTmO3,-7.710
PmRuO3,1.345
SmTbO3,2.172
AsNbO3,2.989
WAcO3,-5.020
ZnPrO3,-4.902
IrGdO3,-8.807
NpMoO3,2.474
VCuO3,-3.557
NiSrO3,-8.413
AcScO3,6.193
MgYO3,-2.831
CoPdO3,-2.828
PdMgO3,-5.454
InLuO3,-3.591
YbBO3,-0.920
RbBeO3,-3.482
AlYbO3,-7.558
NaNdO3,-1.499
AgYO3,-2.727
EuNdO3,-1.140
GaLuO3,-4.527
WCeO3,-12.106
TbAuO3,-0.603
YbPtO3,-0.622
TlTeO3,1.166
CeErO3,4.842
MoCrO3,-0.144
YbGeO3,4.023
RhThO3,-2.589
AuLuO3,-4.013
ReScO3,-5.351
KPrO3,-0.920
DyYbO3,-1.931
YReO3,0.414
RbCrO3,-0.714
OsPbO3,-0.135
GdYbO3,-1.690
HfTiO3,2.226
ThLuO3,4.104
PaPmO3,2.216
PdRbO3,-14.653
LaTcO3,2.914
BTlO3,-5.993
CdThO3,-1.197
AcCuO3,1.596
CeNbO3,4.295
SiGdO3,-6.113
PtAsO3,0.004
PtWO3,3.677
Er2O3,1.088
HoRbO3,-8.649
LaRbO3,-2.592
ScYO3,-2.179
BeMgO3,-5.252
LuBaO3,-8.533
SnPrO3,-3.434
HoWO3,1.073
TeMoO3,2.382
PdFeO3,-1.858
CsBO3,-4.259
KGaO3,-1.802
TcCrO3,-0.212
MoEuO3,-12.294
NaPtO3,-0.340
DyInO3,2.656
PdThO3,-2.178
KOsO3,3.294
AsTbO3,-5.570
ThTmO3,3.804
CaMgO3,-1.620
ZrBiO3,-1.949
VNdO3,-5.876
MoLuO3,-4.815
ReHfO3,-1.230
KReO3,5.027
TlGdO3,-3.090
CaGaO3,-0.749
Cu2O3,-3.296
HgTcO3,2.473
NaAlO3,-1.269
PrEuO3,-1.198
NdCeO3,2.475
EuFeO3,1.667
NdTbO3,4.270
EuInO3,-0.835
ZrTlO3,-2.018
BaZnO3,-0.437
AlYO3,-6.490
Gd2O3,0.680
HfRuO3,-2.171
OsTlO3,-10.443
BaErO3,0.302
CdIrO3,1.027
UCeO3,0.678
BaDyO3,0.203
NaCrO3,-12.261
NbHgO3,-10.886
NpAcO3,1.788
NpMgO3,-0.126
AgRhO3,0.287
BeTbO3,-5.319
LuCdO3,-1.468
BaLiO3,-1.374
CrNdO3,-5.414
HfLuO3,-4.832
RbGeO3,-1.102
ThOsO3,-0.387
LuHoO3,-0.008
PmAlO3,6.434
HoCrO3,4.185
YbTeO3,2.574
PbAlO3,0.559
IrGaO3,-4.314
HfCdO3,-7.342
CaCeO3,-1.450
GdNpO3,2.533
NaMgO3,-1.858
ThPdO3,0.306
SrRbO3,-2.490
TcUO3,-0.303
MoUO3,0.006
MgReO3,1.669
ThAcO3,-1.367
FeZnO3,-8.420
SbSmO3,-4.420
BaInO3,-0.026
LiHfO3,-0.501
InDyO3,-4.266
YbLuO3,-1.221
AlFeO3,-2.445
RhBiO3,-3.897
SiIrO3,0.304
RhPaO3,1.861
CeBeO3,-0.294
TbGdO3,0.370
BiZnO3,-0.418
GdYO3,1.453
AcCeO3,4.197
DyPbO3,0.598
MoHoO3,-6.047
YSbO3,1.154
AsThO3,-3.355
GeSmO3,-3.710
LiAuO3,-2.557
HoIrO3,-1.028
TcGdO3,-5.761
AlNdO3,-7.031
NaYbO3,-5.591
TcTlO3,-7.439
CeBaO3,-4.398
BaNbO3,6.121
NaGdO3,-1.291
SnReO3,3.771
PmOsO3,0.818
NbLiO3,-2.884
ErYO3,0.436
IrSbO3,0.693
SbWO3,2.948
PrMoO3,2.939
CuBiO3,-0.242
MoPdO3,-5.914
ThCoO3,3.147
ZnReO3,3.253
CuOsO3,2.299
HgCeO3,-3.931
RbPbO3,-0.958
SnErO3,-1.922
RhTiO3,0.396
PmCuO3,1.154
BiAuO3,-0.165
TiHgO3,-8.241
YKO3,-3.846
PaTbO3,2.993
ZrSmO3,-3.259
CdEuO3,-3.671
SbTeO3,-0.441
YPtO3,-0.437
AgSnO3,-0.512
VDyO3,-5.732
CeReO3,1.899
ThZrO3,3.230
HfHgO3,-5.258
LiLaO3,-1.742
WNiO3,-3.922
AcBaO3,-1.771
BRbO3,-15.921
CsVO3,0.368
BiErO3,-0.310
PaTiO3,4.256
CdGdO3,-2.669
MoVO3,0.960
GeUO3,3.662
KInO3,-1.395
NdNbO3,3.940
SnGeO3,3.690
YbBaO3,-2.149
ZnGdO3,-4.185
PbLaO3,-0.960
AlGdO3,-6.621
RhTaO3,4.232
InNdO3,-4.736
NbTbO3,-6.862
SmNbO3,3.647
GdSiO3,4.651
DySrO3,-3.729
UHfO3,5.259
OsRuO3,-1.907
CdPbO3,-0.666
ErHgO3,-1.117
AuGdO3,-4.301
AcTlO3,1.876
BaPdO3,0.534
SrThO3,5.721
PbBaO3,-1.982
ThTbO3,3.063
PdTbO3,-4.687
TcHoO3,-5.353
GaPuO3,0.763
CuMoO3,3.985
BaLaO3,0.259
TaNdO3,-12.189
AsBeO3,-2.418
TlRhO3,0.486
TaNbO3,-0.321
LaAuO3,0.235
AsHoO3,-5.112
RuHoO3,-5.882
PmHgO3,-0.497
HgYO3,-3.068
AgNaO3,-9.782
PdCoO3,-0.712
SnIrO3,1.392
MoRhO3,-1.347
TcIrO3,0.352
AlAsO3,1.180
BeTeO3,-0.192
BeYbO3,-7.823
ErKO3,-4.104
TiPdO3,-1.399
MoZrO3,-0.740
BiHgO3,-1.240
NdNaO3,-1.997
USmO3,2.588
SrFeO3,1.378
LuYbO3,-2.456
FeSrO3,-8.054
MoKO3,-19.535
MgCeO3,-3.540
UHgO3,-2.345
MnHgO3,-1.970
GeHoO3,-2.999
NdTaO3,4.009
AsTlO3,-5.074
SrDyO3,-0.448
LaCrO3,4.845
PrInO3,3.343
WKO3,-11.031
VNiO3,-1.428
PrTcO3,2.453
TaRbO3,-14.916
RbNaO3,-2.370
PtNdO3,-7.658
MnSbO3,1.874
IrBiO3,-7.137
YOsO3,0.219
RhRuO3,1.431
SiSnO3,2.712
BLaO3,-4.081
CsPbO3,-1.132
VBO3,0.401
MgLiO3,-4.988
BeErO3,-4.972
MoAuO3,-8.504
CdWO3,5.005
CuZrO3,-1.012
AlSrO3,-10.222
RbLaO3,-0.730
CuUO3,3.288
TcOsO3,0.916
CuInO3,-4.021
SmTlO3,0.884
CaEuO3,-1.586
AlAcO3,-5.958
OsTbO3,-8.898
GeBeO3,-4.938
ZnSrO3,-8.333
AuSmO3,-5.021
YbHoO3,-1.429
AgCuO3,-2.405
PbBiO3,0.568
NbAgO3,-8.804
EuPmO3,-1.079
ReNdO3,-9.992
RuNiO3,-3.858
ZrLaO3,-8.803
KTmO3,-0.757
MnPmO3,-3.111
OsSmO3,-9.721
UGdO3,2.735
TbHoO3,1.499
DyErO3,1.611
HgSiO3,1.748
OsZrO3,-3.131
TcNaO3,-12.735
AuSiO3,0.447
EuMoO3,4.925
AlBO3,0.694
ZrTiO3,2.821
TiCrO3,0.834
HoAlO3,6.291
ZnFeO3,-0.750
ErTiO3,4.577
ScPmO3,-4.218
AcCoO3,3.330
PtTlO3,-7.655
UPtO3,0.467
MgYbO3,-4.027
PaWO3,0.050
PbMgO3,-3.405
PrDyO3,4.491
PrAgO3,0.177
ReTiO3,-2.031
NaTaO3,6.194
TiSmO3,-6.440
PdPrO3,-5.349
BaAlO3,0.638
TeDyO3,-5.128
PmYO3,4.266
SbMgO3,-2.504
BeRuO3,0.043
ZnMgO3,-3.967
MoPtO3,-3.673
TcPdO3,-4.531
PmNaO3,-2.163
RuNaO3,-13.440
MoCuO3,-3.836
BeEuO3,-8.264
PtGaO3,-3.192
HoAgO3,-0.655
SmRbO3,-3.016
LaCoO3,2.964
SrInO3,-0.561
SrTcO3,4.148
AlNpO3,-1.407
ScAuO3,-1.476
PdRuO3,1.850
SnLuO3,-0.995
PaReO3,-0.585
SiZrO3,3.899
KGeO3,-0.540
CaSiO3,6.171
LuErO3,0.359
AlLaO3,-6.662
TlAlO3,-0.122
RbIrO3,1.078
SbErO3,-2.358
ULiO3,-2.292
AlGaO3,-3.306
NpThO3,3.165
MgMoO3,3.429
CdNpO3,1.886
OsRbO3,-21.720
CaHfO3,6.417
SbNdO3,-5.116
RuAgO3,-7.277
RuBiO3,-0.245
GdThO3,2.501
GeNbO3,4.379
AsCrO3,0.789
VZrO3,0.821
MoSmO3,-7.626
SrSmO3,-0.583
LuRbO3,-3.998
SnNpO3,1.877
PmKO3,-3.294
NdCdO3,-0.394
TcSnO3,2.883
YZrO3,4.354
YBO3,5.345
LiBO3,-3.925
NdRbO3,-2.810
AlThO3,-2.435
BaNiO3,0.252
TiLuO3,-3.709
RbTcO3,3.403
ErZrO3,4.018
ReCuO3,-6.222
ZrNiO3,0.886
MnZrO3,2.972
ScLuO3,-0.613
PuSbO3,0.475
GaRbO3,-13.296
GeLuO3,-1.926
BeFeO3,-1.666
CdErO3,-2.290
ZrErO3,-4.042
IrSiO3,2.294
TlNbO3,4.564
TaAgO3,-11.587
PrUO3,2.997
TbCuO3,0.770
YTbO3,0.631
MnMoO3,3.603
HgWO3,3.652
MgInO3,-2.595
NiAsO3,-3.104
ErThO3,1.975
SmHfO3,4.839
DyAcO3,0.805
ErPrO3,-2.930
MgPbO3,0.440
RuPtO3,-0.609
AgThO3,-0.696
CuCrO3,-0.457
BaSmO3,0.076
PtHoO3,-6.385
BaTbO3,0.154
AlDyO3,-6.424
KCaO3,-1.823
PdCuO3,-3.672
MgGdO3,-2.812
IrHgO3,-11.278
EuBO3,-0.822
AcTiO3,5.944
BCsO3,-1.902
CsSrO3,-1.786
LaSrO3,-2.213
SmNpO3,3.320
RhHfO3,0.072
BeRhO3,-1.580
SiThO3,1.893
AcMnO3,4.094
NaCaO3,-6.274
YCaO3,-2.872
LaPaO3,4.276
SmSiO3,4.676
OsPrO3,-10.401
BiRuO3,1.594
NaEuO3,-4.835
HfTbO3,-7.388
EuAgO3,-0.606
MgDyO3,-2.681
WCoO3,-2.700
MoErO3,-5.746
KNaO3,-2.431
ZrPmO3,-6.026
CaKO3,-3.797
RbSrO3,-1.816
LuDyO3,-0.415
NdLaO3,2.384
TcSrO3,-12.187
CdOsO3,2.412
ScTmO3,-1.199
GeTeO3,1.654
ZnZrO3,-0.544
CeLuO3,5.161
CeTmO3,4.953
MnWO3,3.688
SbTiO3,3.841
KScO3,-0.848
WNbO3,-0.106
KZnO3,-1.732
AcNpO3,4.396
RbPdO3,-1.294
RuPrO3,-7.374
SnTbO3,-2.406
TcReO3,2.227
DyTaO3,3.128
TlAuO3,0.056
YSrO3,-3.605
ZrSbO3,-2.002
CdBO3,-1.768
EuCrO3,2.113
ReUO3,5.320
RbLiO3,-2.935
TeWO3,2.769
RbMnO3,-1.514
OsHoO3,-8.396
SmBaO3,-5.106
AuPrO3,-5.219
NaUO3,4.350
TcTeO3,1.191
AlPtO3,-0.923
GdPaO3,2.874
CdPmO3,-2.998
CrSnO3,0.712
AlMnO3,-2.158
ReEuO3,-14.217
GaTmO3,-4.551
ZrAuO3,-3.832
GdCdO3,-0.848
GdLiO3,-1.128
SiCsO3,-2.713
ScIrO3,-1.398
MgVO3,2.490
ReNpO3,0.630
BBaO3,-8.221
NdPmO3,3.350
GdNiO3,1.181
RhPuO3,-2.620
TbScO3,5.096
HoTlO3,0.482
AgCaO3,-6.108
OsSrO3,-14.974
MgLaO3,-3.153
NpYbO3,-0.865
AlPdO3,-3.303
SmDyO3,4.233
AlVO3,-0.475
InTmO3,-3.852
IrLuO3,-7.297
PrBeO3,-0.356
PuYbO3,-2.625
RuWO3,3.739
SmTiO3,5.050
ErPdO3,-0.261
Bi2O3,0.643
CeAlO3,6.490
MgHgO3,-2.924
YMoO3,1.870
InTlO3,-4.098
SrYO3,-0.576
CsBeO3,-3.349
HgPdO3,-1.285
NpHgO3,-0.284
AuYO3,-3.817
WGdO3,-9.774
CaCuO3,-0.449
PrNaO3,-1.835
YBaO3,-7.335
LuYO3,-0.404
MnGdO3,-2.850
CrScO3,-3.180
TeScO3,-2.076
BaRbO3,-2.030
GeLiO3,-7.295
BiPbO3,1.186
MnYO3,-2.709
NbCuO3,-1.211
BiDyO3,-1.152
BaUO3,5.448
NaIrO3,1.523
TbGaO3,4.521
PtBeO3,-3.844
WReO3,-4.812
PmAcO3,1.524
ScLaO3,-5.546
SbTmO3,-2.008
NbSiO3,2.974
TePdO3,-0.898
Cs2O3,-1.385
BeThO3,-3.297
BaTcO3,4.347
ZrPtO3,-2.663
MnTiO3,3.891
MgGaO3,-2.133
NdGdO3,4.071
BSiO3,0.590
AlHfO3,-0.122
MgTlO3,-2.748
MoPaO3,1.350
ZnGeO3,1.669
AsRuO3,0.888
AlErO3,-6.199
SmTmO3,4.650
TcHgO3,-8.700
TbRhO3,-0.048
VHfO3,3.531
LaHfO3,5.446
SiTlO3,-6.045
SiNpO3,1.255
AlMgO3,-5.359
NpVO3,4.508
CoNiO3,-2.152
RuGeO3,0.465
AgErO3,-3.225
CdBeO3,-2.662
KUO3,-11.265
PmCaO3,-2.197
YbKO3,-3.898
BeOsO3,0.808
AlBiO3,-4.525
PmRhO3,0.503
GeErO3,-2.681
PaSiO3,1.990
RuBaO3,-12.327
NbAcO3,-1.015
PmPtO3,0.022
SbCdO3,-4.438
MoScO3,-3.025
AsNaO3,-9.344
TmYO3,0.048
CrNpO3,0.952
SiNiO3,-4.359
TiTeO3,0.842
AcPdO3,1.499
TcErO3,-5.164
EuSrO3,-2.838
RbUO3,4.513
RuReO3,2.343
HfTlO3,-3.546
OsThO3,-0.205
BiEuO3,-4.267
KSrO3,-2.007
IrZrO3,-2.392
TlWO3,4.966
ErTeO3,0.615
ScGdO3,-2.876
TeReO3,1.672
KIrO3,1.458
BaPtO3,1.235
SmVO3,4.238
AgBeO3,-3.058
InTiO3,2.919
NpZrO3,4.437
TlTbO3,-2.923
AgSiO3,0.186
GdOsO3,0.333
SnSrO3,-6.916
BaMgO3,-0.626
PtReO3,3.267
FeHfO3,0.664
RhLuO3,-4.931
AgNbO3,4.672
LuSnO3,2.179
ScHgO3,-3.250
InMgO3,-3.349
OsBaO3,-16.217
KNiO3,-1.415
GdDyO3,1.644
NbTiO3,1.931
PaYbO3,-12.498
CoTbO3,-4.123
BiGdO3,-1.812
GaBaO3,-6.223
PdNiO3,-3.072
CoTcO3,1.708
CaGdO3,-1.267
CePaO3,5.172
LaNbO3,4.563
ZrNaO3,-4.743
NbPaO3,3.096
CeVO3,4.542
GaHoO3,-4.627
NpOsO3,0.907
RbDyO3,-0.784
Lu2O3,1.406
SbPbO3,-3.418
CdPuO3,2.051
NpSrO3,-2.042
CdSnO3,2.754
NdMgO3,-0.680
UBO3,3.382
ScAlO3,5.068
TbEuO3,-2.201
CsThO3,0.428
OsSbO3,0.586
ZnLaO3,-4.393
WBO3,0.235
LaInO3,3.397
LiTiO3,-0.779
VLiO3,-5.697
LiHgO3,-2.566
CdDyO3,-2.481
GdPtO3,-0.367
LiPrO3,-2.280
GaUO3,4.188
LuSbO3,0.010
ReBO3,-0.383
YBeO3,-0.980
GdGaO3,4.584
NpAsO3,2.908
TlRuO3,1.828
YbHfO3,6.420
RuThO3,-2.550
TbNpO3,2.531
PrPtO3,0.349
RhCeO3,-6.947
TaPmO3,-11.636
IrTbO3,-8.596
CaSmO3,-1.367
ErMoO3,1.409
InAuO3,-2.052
TiSnO3,1.902
Rh2O3,0.096
PbHoO3,-0.865
LiYO3,-2.006
TbKO3,-3.824
CuVO3,1.779
LiCeO3,-2.253
HoThO3,2.036
ScTcO3,0.589
SnHoO3,-2.231
IrBO3,-0.705
YbHgO3,-1.328
RuAcO3,-7.459
SiBeO3,-6.156
CaOsO3,2.187
PaLiO3,0.486
RhSrO3,-10.669
RbYbO3,-1.393
ScZrO3,4.047
RbRuO3,1.633
Tc2O3,2.454
MoAcO3,-8.478
InBaO3,-6.501
ZnLuO3,-3.418
InRbO3,-11.336
GaMoO3,4.552
SnAsO3,1.871
AlInO3,-5.702
PtTbO3,-6.760
PaScO3,4.351
TiYbO3,-8.194
BPuO3,0.196
TlRbO3,-9.944
PtHfO3,-0.704
LaZrO3,5.094
ZnVO3,1.518
CsLuO3,-0.707
NpIrO3,0.150
PtVO3,-0.296
UYO3,2.554
PaHfO3,3.187
LaNdO3,3.701
SrGdO3,-0.521
SmReO3,0.946
NbScO3,-2.429
RhPtO3,-0.825
VInO3,-4.818
WHoO3,-8.659
AsCoO3,0.089
LiNdO3,-2.224
YCrO3,4.248
CoMnO3,-2.308
LuBiO3,0.107
WInO3,-7.887
SnMnO3,0.727
DyNaO3,-2.833
LaYO3,4.641
BiCeO3,-4.278
KAcO3,-0.448
PrErO3,4.728
HoNiO3,0.995
WRbO3,-5.054
IrSnO3,-3.179
WNdO3,-11.381
VHgO3,-6.526
LiCoO3,0.263
PmRbO3,-2.941
GeScO3,-1.646
UAgO3,-2.108
TeCeO3,-7.427
AuCaO3,-7.850
MgNpO3,1.747
PdTeO3,0.405
SrPbO3,1.780
BiYO3,-0.964
PmBiO3,1.300
GeSbO3,2.138
LaPmO3,3.929
IrReO3,0.247
CaYbO3,-1.714
NbThO3,-4.590
ScNdO3,-4.700
TbBaO3,-6.725
BaTlO3,-0.202
ErNaO3,-3.038
ZrTcO3,-0.429
AuVO3,1.401
WBeO3,0.000
SnLiO3,-5.162
GeCoO3,0.905
ZrLiO3,-2.664
YbNaO3,-6.069
SmAgO3,-0.168
RuAsO3,0.531
NaWO3,5.438
SiTbO3,-5.984
VSbO3,0.871
AuPaO3,2.677
AuNiO3,-2.603
SiCdO3,-7.671
TmThO3,1.886
SrLiO3,-1.469
PaDyO3,3.282
AsReO3,1.826
CaNpO3,3.625
CrTaO3,5.251
SrTaO3,6.161
NdKO3,-3.388
WNaO3,-14.529
ErNdO3,-2.591
TeEuO3,-9.104
TbReO3,0.373
CdNiO3,-1.229
GePbO3,0.674
SmCuO3,1.081
InSrO3,-7.129
ScMgO3,-2.950
AuYbO3,-7.276
SiAgO3,-7.077
KPmO3,-0.854
FeTmO3,-4.947
EuYbO3,-1.411
AgPmO3,-3.507
TcFeO3,-1.970
CrGaO3,-2.490
PrCdO3,-0.266
CuAuO3,-1.702
CuGeO3,-0.446
HgIrO3,1.554
SrZnO3,-0.611
AuOsO3,2.319
InNaO3,-7.727
DyNpO3,2.464
EuPdO3,0.085
RuYbO3,-9.221
CsSiO3,-1.860
NiZrO3,-2.937
PdNaO3,-10.644
HoBeO3,-1.024
AuTiO3,-0.149
MoGdO3,-6.964
LiYbO3,-6.734
ZnCdO3,-4.308
KCoO3,-2.955
GdPdO3,0.096
NbCrO3,0.740
NaSnO3,-0.421
PbOsO3,3.296
CoSbO3,1.453
BeYO3,-5.249
MnNiO3,-1.570
SiTcO3,2.295
PdLaO3,-5.572
HoDyO3,0.661
NbEuO3,-12.689
OsCoO3,-2.690
LuWO3,0.590
GdHgO3,-0.791
BePdO3,-3.355
GaFeO3,-2.251
TbLaO3,-2.626
PrNpO3,3.565
BeTiO3,0.033
GeRbO3,-3.709
TcMnO3,-1.296
MnTmO3,-2.333
HgMnO3,-0.273
SbHfO3,3.791
YbLaO3,-1.381
TbRbO3,-3.294
OsCeO3,-10.607
CdSbO3,2.024
TiNaO3,-10.414
BAuO3,-3.811
PbPmO3,-1.241
PdTlO3,-6.100
NdPuO3,2.710
MnCeO3,-3.480
RuCeO3,-7.543
PbCdO3,-2.360
NiMoO3,0.705
LaPbO3,1.344
FeAlO3,-1.638
UFeO3,2.177
TlGeO3,1.418
GdBaO3,-6.988
HoScO3,5.011
CuCoO3,-1.005
WHgO3,-14.081
TmCdO3,-1.311
AsTmO3,-4.583
SmAuO3,-0.273
ErHoO3,0.759
TbHgO3,-0.904
TlYO3,-3.435
SrHgO3,-0.562
NpNbO3,3.591
TaScO3,-5.103
TmSbO3,0.334
TlIrO3,1.362
Na2O3,-10.002
TbTlO3,0.612
InPtO3,0.262
CrKO3,-11.474
MgTmO3,-2.488
NbHfO3,-0.260
ZnYO3,-4.032
PdGdO3,-5.740
CuGdO3,-4.248
AuZrO3,-0.649
SrMoO3,5.296
BaLuO3,0.483
CdScO3,-1.556
CsBaO3,-1.616
RbAuO3,-1.526
LaTlO3,1.289
ErMnO3,3.370
TiCoO3,0.232
CrNiO3,-3.321
EuNiO3,0.409
ReTeO3,-2.836
NbAuO3,-8.792
HoZrO3,4.086
WAuO3,-11.822
GaNiO3,-3.142
SiYbO3,-8.896
HgRhO3,0.407
DyNdO3,-1.117
TcTaO3,4.418
TiRhO3,-1.546
